comment,likes,rating,useful
"Disappointed. Dlm gambar labuh boleh belakang, tp nj paras pinggang.",1,1,1
"saya dapat baju ni kotor, banyak sangat stain kuning dekat depan and belakang baju, pastu agak berbau sikit. chat seller tunggu berhari takreply, takpelah saya terima je cuma kecewa sikit and seller pun tak reply chat bagi solition pape. ",,2,1
"Jahitan cardigan tak symmetry. Mcm cardigan reject. Sbb tak symmetry tu bahagian lengan sebelah tak selesa sbb jahitan salah. Then, kain dia sangat tebal and kasar. So disappointed  ",,2,1
"The cloth material was good but when I see the cloth carefully , the cloth was a bit dirty",,2,1
Item safely arrived. But I am a bit disappointed as I had actually ordered for nude colour but they told me that it was out of stock so I agreed to change it to navy blue. But then u can see there is a thread hanging on the clothes. I hope at least do a QC beforehand. Overall it fits me well.,,3,1
Padan dgn dengan harga...,,3,1
Baju ni sesuai untuk siapa badan kecik sebab baju kecik. kain agak tebal untuk cuaca malaysia ni. lengan pendek tiga suku je. basically untuk siapa size s tangan pendek boleh la nak pakai,1,3,1
"Much smaller than advertised, better include measurements. Im 164cm and its not as big as expected in photo, will look short on you for those with similar height. ",,3,1
155cm 43kg small not suit for me,,3,1
"good stuff but then the material is kind of itches amd if u have long arms, it's not suitable for u.",,3,1
"Lengan singkat gila for material, mmg tebal & quite nice. Tapi tulah baju pun singkat ",,3,1
Smua ok...warna sma mcm dlm gmbr so far good la...hnya penghtaran ada lambat sdikit,,4,0
"Barang diterima dalam keadaan baik. Material knitted tebal, ok la not bad. Cuma macam kecil sedikit ye, maybe memang fashion gitu kot haha. Lengan dia pun fashion singkat sedikit. It s ok, padan dgn harga. Thanks ya",,4,1
Material okay dan loose. Cuma labuh ngam2 pinggang. Bukan bawah punggung. Tinggi 154cm. Apa2 pun selesa pakai,1,4,1
"Alhamdulillah, dh sampai.. Order 6/6 sampai 9/6.. Kualiti produk ok, tapi ada bahagian yg tidak di jahit...",,4,1
A few loose strands and length tangan dia tak berapa panjang sangat. But it's overall really good and would recommend,,4,1
"Baju Cepat smpi,cume ade jahitan yg xsempurna..",,4,1
Semalam pos harini sampai,,4,0
very fast delivery,,4,0
Nice,,4,0
kain tebal . sedap pakai .. quality bagus .,,4,1
Overall okay cuma cardigan tu bau hapak,,4,1
"Material kain okay, tak ada bulu-bulu halus tu. Tebal sikit. Tak sesuai pakai lama kalau jalan-jalan tengah hari dekat luar. Me 155 cm, 47kg. Cardigan tak cover penuh sampai punggung. Okay sebab cardigan loose.",,4,1
Kain die lembut + tak berbulu but a bit pendek walaupun my height is 153,,4,1
"size nice, material kinda berat mcm tu tapi sampai sampai tadi dia berbau kepam sebab dia lembap padahal dia dalam plastic. ni baru lepas basuhkan dia   i hope next time tak jadi mcm ni lah",,4,1
"The cardigan mmg sama warna mcm dalam gambar, i thought dia a bit shorter than what i expected but still selesa je pakai. Kena pakai inner to make sure tak nampak skin.",,4,1
Received defect item ! But admin offer to return RM 5,,4,1
its a good and thick cardigan but its kinda short for my height 158 cm but overall its fine,,4,1
had some defect on the back :(,,4,1
cardigan ni terlepas jahit or terkena gunting?,,4,1
agak pendek sikit but overall okay ,,4,1
"VERY, VERY, VERY BAD SERVICE. SO BAD!
I ALREADY ASK THEM TO GIVE ME ""TWO COLOUR"" BUT THEY SENT AT ME ONLY ""ONE COLOUR"". ",,1,0
SELLER HANTAR BAG SALAH. PASTU TALI TAKDE. BILA KITA MINTAK REFUND TAK BOLEH. LAYANAN DARI SELLER PUN 0/10. SANGAT MENGECEWAKAN !,,1,1
SELLER HANTAR BAG SALAH. PASTU TALI TAKDE. BILA KITA MINTAK REFUND TAK BOLEH. LAYANAN DARI SELLER PUN 0/10. SANGAT MENGECEWAKAN !,,1,1
Cannot use the bag because zip was sewn twisted.. please replace me the new bag.. tq,,1,1
Dishonest seller. Seller sent another item that cost 8.80 a pouch  which I never order.while I pay rm14 plus. Don't buy from this seller,,1,1
"Tak macam kat pict ! Kecil , tali macam kain biasa je ! ",,1,1
Kecil ja ingtkn besar ,,1,1
Beg tidak seindah d gambar,,2,1
sangat kecil...,,2,1
It's cheep and the quality is expected. Fast shipping from the seller.,,3,0
"thought this would look nice but the stitching was messy while the straps and cutting was very cheap looking. then again, I bought this on an offer of RM4.00 so what did i expect anyway  . however, i do like the bag design, it's minimalistic. delivery time was okay. thanks.",,3,1
Okla berpatutan dgn harga,,3,0
Ok la,,3,0
Already received but the size is smaller than i expect.,,3,1
Bag cantik..xbesar sgt..bahagian dalam kosong tapi sesuaila dengan harga.,,4,1
Fast delivery. 4 hari dah sampai Sabah.,,4,0
Bag ok cantik,,4,0
Ada kesan terkoyak akibat bergesel dengan sesuatu..................,,4,1
"Sampai dalam keadaan baik. Ada yang kecil ada yang besar. Zip ok, saya pilih random. Cantik cantik beg. Terima kasih Daun keladi. ",,4,1
Brg smpai cepat.. Ok dgn harga.. ,,4,0
Cute and nice. But i expect littlr bit big size then this bcz cnt put my purse inside. ,,4,1
Beg 1 Tak zip ..,,4,1
A bit small. Thought can fit my telekung,,4,1
"Got a small hole at the bottom of the bag, but sokay boleh jahit balik sendiri... Overall its ok with the price.. ",,4,1
"Barang diterima dengan selamat nya...
Beg sling yang cantik...",1,4,0
"Barang sampai cpt terbaik... 
Tapi ingat bag besar rupanya kecik, tali pun nipis n kecik sikit.. Ok ler dgn harga .. ",,4,0
"Not bad laa..kalau besar sikit lg ok,tq seller",,4,0
Sellers chat response is a bit late but overall the item is in good condition,,4,1
Talinya tidak cantik haha... Tp ok jg sbb kut harga kan murah haha,,4,1
Dont expect too much with the low selling price. ,,4,0
"Delivery time is good but get wrong color la
Seller must check properly la before post
Kualiti boley la sesuai harga",,4,1
Beg kecil jer.. Sesuai dgn harga.. ,,4,1
Penghantaran lambat dengan J&T so better pakai another delivery courier. Beg tu kecil dari size dalam gambar so be careful,,1,1
"the product is so thin, by looking at the price you can already guess the quality ",,1,1
"I order different bag,I get a different bag so poor service",,1,1
"Barang dlm keadaan baik, dan penghantaran  yg cepat",,1,1
"Entah pape hahahaha ingt lawa hadehhhh baru nk hadiah ke mak  dlm gmbr bkan main yerr,smpai2 nahhh tudiaaaa hahahaha..tpi ok larr sbab sesuai lar ngan harga kan ",,1,1
Ok lah.....,,1,0
"saiz tlalu kecil
tali nipis",,2,1
"size tlalu kecil
tali nipis",,2,1
Product not what I expected. Low quality. But I guess worth the price. ,,2,1
"Murrah,  x ngam bwa jln2, senang putus kalau kna grab",,2,1
"Tq seller
Barang kualiti sama dengan harga
Xtebal, xbesar,
Tq          ",,3,0
"Pilih warna hijau smpai ii wrna hitam ,okelah post pum cpt ",,3,1
.............   .................. .........thanks.......,,3,0
Already received but a bit disappointed cz the bag is bau tikus   then the sandle is not fit to me. my size is 38 but I take 39 and still not fit.. hmmmm,,3,1
Ok not bad setanding dgn harga,,3,0
Brg selamat sampai..tpi 3 jam smua tak berfungsi...,,3,1
The size is quite smaller than expected. The quality are also different from the picture. Although I am a little disappointed but since it cute so I'm quite fine with it. Plus the price is quite suitable for the items. ,,3,1
bolehlaa. harga kene dengan barang. semalam post harini dah smpai. thankyou,,3,0
Maaf seller tapi beg saya kurang 1.  ,,3,1
Too small. Not like in the picture. Purse cannot put in at all. Fast delivery though. ,,3,1
okay. smaller than i expected. yeah. you get what you payyyyy ,,3,1
Barang dah sampai....satu beg ok..satu lagi tak memuaskan..tp berbaloi dgn harganya...apapun...semua ok ..thanks,,3,1
"Quality is a meh, but okay.  Bearable as the price is low.",,3,1
 Product quality is ok,,3,0
Beg agak kecil,,3,1
good...beg yang comel sesuai utk letak phone n purse n harga murah,,3,1
Good,,3,0
berbaloi dengan harga,,3,0
ade cam calar sikit tapi tkpelah harga murah  ,,4,1
"The black bag quality ok ok only, bought at cheap price so what to do la",,4,1
"sorry vid tak berkaitan,beg tu tali agak tak memuaskan but kasut i like just a bit besar huhuhuhuhu thankyou anyway",,4,1
Barang sampai dalam keadaan baik  ,,4,0
"Kualiti normal, but is okay, Becausethe price quite cheap,thanks seller",,4,0
 boleh la stakat buat lasak tu....hehe..murahh2,,4,0
Okey...bagus...perhantaran cpat,,4,0
Xblh nak zip..jahitan xbtul ini...patut nye seller tgk brg dulu sblm pos out..,,4,1
"Dah sampai . Beg cantik sangat , cuma beg rabbit 1 tu ada koyak sikit . Thankyou !  ",,4,1
"Beg hitam okay. Cantik. Sesuai dgn harga. 
Beg biru, tali tak bersambung. Refer gamba. Totally tak kemas macam beg hitam. Kasut okay.murah.berbaloi beli. Saiz kene up satu saiz yang biasa pakai.kalau ada duit lebih, belilah beg yg mahal kualiti skit. Beg beg ni murah. Kualiti sesuai dengan harga. ",,4,0
Penghantaran yg cepat,,4,0
It's slightly different from the picture but it's acceptable with the price   Fast delivery and im satisfied with it!!   Thanks!,,4,0
Receive in good condition. But the bag is too simple it's just have a zip no more compartment lucky it for my daughter. She go out just bring phone and wallet only. ,,4,1
"Post sgt cepat
respon dri seller pon cepat
layanan sgt bagus
brg okay
nnti bole repeat lgi
Post sgt cepat
respon dri seller pon cepat
layanan sgt bagus
brg okay
nnti bole repeat lg",,4,0
item rosak 1 but seller dah refund :) thanks,1,4,1
Fast delivery ..quality beg kurang sebab jahitan tak kemas tapi kena dengan harganya..beg lawa.tak besar sangat tak kecik sangat..okay untuk bawak phone dan dompet..lain kali saya boleh repeat lagi ,,4,1
Mendapat barang mengikut dalam gambar..tq sis Service terbaik ,,4,0
"Sound quality is just fine, not as good as I thought it would be. Plus the shipping was horrible! Took too long, seller did respond & follow up. Once received, the package has smell of perfume or some thing, it was oily. For the price, that's what u get, don't expect more",,3,0
Kualiti sepadan harga.,,3,0
It takes extra days to be delivered compared to other item that was bought on the same day. ,,3,0
Shipping was a little slow. Packaging was good with bubble wrap. The speakers are satisfactory. ,,4,0
"normal,no bass only",,4,0
"The delivery is fast, but not satisfied with the quality.",,4,0
Ok la tapi kotak kemik sikit harap kalau ada warranty issues nanti seller tanggungjawab lah,,4,0
item good item good item good item item good item good item good item good item gooditem good item good item good item good good item gooditem good item good item good shipping problem & late...,,3,0
"Item arrived in good condition, good packaging, good product quality, but delivery took more than a month to arrive.Would've be 5 star if not cause of the late delivery. Still satisfied with the product.",1,4,0
Bad service from shopee shipping slow giler beli brg 18.6.21 harini baru smpi giler peram brg nak sebulan!! Bg 1 start je utk delivery!!!,,1,0
Packing sangat terukkkk.. Takdak bubble wrap lansung.... ,,1,0
slowwwwwwwwww delivery dude...,,1,0
TAKDE GAMBAR SEBAB I ORDER BARANG NI BUT TAK DAPAT HM SEDIH GILA !  ,,1,0
"barang mcm sampah , parcel takde bubble wrap langsung just bubuh dalam plastik hitam je sudahnya pencil eyebrow aku patah. mascara pulak  takleh function. nak mintak refund tapi kena return barang pulak, aku kalau produk sampah mmg duduk sampah la jawabnya. will boikot forever #pinkflashkoyak",,1,1
"Untrusted seller. I never get the item, my money burned. When contact seller, no response. Buyer please take note. Don't buy from this seller. Irresponsible seller. ",1,1,1
"The tip doesnt come out at all. The rest is okay. But the eyeliner is really frustrating. Dia punya murah, menyerlah taknak sorok. Kalau marker whiteboard habis, pakaila eyeliner ni. ",1,1,1
"Before this trslh hntr sponge, then bgitau next parcel akan selit sponge skli and just give a notee. Ni dh purchase baruu tkde pun sponge  . Ni last order. No moreee  ",,1,1
You gave the wrong eyeliner !,,1,1
Cair sgt ,,1,0
"Okay la eyeliner nie sbb murah,sesuai dgn brg tue.Kejap je dah smpai.",,2,0
"Very disappointed    seller mcm mana buat keje ni bg eyeliner takde penutup   nampak mcm yg dah bukak je, bg yg tak elok punya    dhla xleh guna x keluar ink   dah la wrap dgn plastik gitu je, xkn x perasan kot msa pack   geram betul rasa haih   menyesal beli ni  ",,2,1
"not sharp at all, if you jenis suka buat style eyeliner triangle this is not the one babe. eyeliner dia cairr and if terkena air sikit you will look like bride yang tak jadi kahwin and im serious  ",1,2,1
"no bubble wrap, the items broke and i cant use it anymore so yah a bit dissapointed",,2,1
Dah pernah beli. Tapi kalini Delivery lambat sgt. Brg pun sampai dekat tmpt lain,,2,0
the eyeliner is dry,,2,1
Penghantaran lambat gila! Da sebulan baru sampai barangnya..,,3,0
eyeliner mata tajam dan jenis liquid. tksesuai untuk newbie mcm sy. habis hitam mata   . so far okey la. tq seller ,,3,1
Everything is good~~ but the shipping here is way too long... maybe they miss my parcel,,3,0
"not waterproof, so easy to wipe, the edge of eyeliner to thick hard to draw sharp line btw fast delivery.  ",,3,1
barang semua mencukupi..semua ok..tapi penghantaran ambik masa nak dekat sebulan..terima kasih..harap boleh diperbaiki..,,3,0
"Received already although took some time to get the item,  very liquid",,3,0
can be erased by my fingers. the ink is good though. but bc its easy to erase u can mess up and still be fine.,,3,1
Saya beli eyeliner yang dapatnya eyebrow.,,3,1
i dint recieved this eyeliner ,,3,1
even late its sokay i got what i want HEHEHEHE   ,,3,0
It s dark but obviously not water proof and smells like marker pen to be honest.,,3,1
"Terlalu cair, and spreading",,3,1
Taktahan lama,,3,1
"Murah..cepat smpai. Kualiti setanding ngan harga. Eyeliner kena air sekali terus pudar which is they stated as ""waterproof"" tapi sebenarnya tak. Suggestions klau nk beli eyeliner better beli stagenius punya agi tahan.",,4,1
Sorry tak dapat bagi 5 bintang kerana penghataran sangat lama..tapi kualiti barang sangat mantap..thank you seller,,4,0
"received in good condition, its just the eyeliner is hard, not like brush, so u hv to do it gently",,4,1
the product came w/o bubble wrap but all in good condition. the product is pigmented enuff for me and affordable,,4,1
"Tak suka sgt sbb basah,. Agak cairr. me echo de menos a mis amigos.",,4,1
"Product arrived safely. Wrapped well. No damage. Product looks premium for a cheap price. Works well on me. Well, it does its job so okay.",,4,0
Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you Thank you,,4,0
"Packaging okay, products also okay but the delivery takes a very long time to arrive . More than 3 weeks to arrive. But, understandable might be because of oversea shipping ",,4,0
i accidentally clicked i've received the order when i'm not :'( hope the items will arrive safely,,4,0
"Penghantaran ok je, dh try dah, die sumpah cair skit, tpi lah kan dgn harga",,4,0
"for absolutely beginner, i dont recommend as the felt tip is very hard and not flexible  but if you want to try out eyeliner its an ok option since its cheap",,4,1
"Thank you, barang sampai dengan elok, cume lambat skit la, warna dia pun okay   ",,4,0
reallyy goodddd! the eyeliner is very easy to use and very smooth!!,,4,0
"Yeay dh sampai, eyeliner ni memang hitam and cepat kering, tip dia pon halus so boleh buat wing liner, harga dia pon murah so utk makeup beginner boleh beli this eyeliner ",,4,1
Just ok lah. Not bad at all. And not that good. I don't why some youtuber said that this eyeliner was really good and soooooo worth it to buy. Its not that 'really good' tho    pls don't lie people like that ok. ,,4,1
"delivery pantas, semua okay tpi ink nya cair sgt n susah nk clean even guna oil cleansing. maybe ada cara utk pkai kene tgk utube. anyway dpt free gift best dri seller. thank youuuuu  ",,4,1
"Thank you, all the items are enough, I bought this set of make -up tools to give a thousand and one benefits to the wearer. and I hope after this I can order again with you..because you are kind and trustworthy",,4,1
"kinda disappointed because seller didn t provide bubble wrap at all. hence, the 4 stars ",,4,1
nice but ink(?) dia tak evenly spread sangat idk so bila nak pakai dia hilanghilang. also no ink at the tip so i cannot do thin lines lol. lepas pakai kena biar dia rest jap so the ink ada balik,1,4,1
terbaik terbaikterbaikterbaikterbaikterbaikterbaik Terbaikterbaikterbaikterbaikterbaikterbaikterbaik,,4,0
"penghantaran cepat..tp barang xleh guna kt player.. better lg pkai yg dh 3,4 tahun punya barang lg ok..",,1,1
Beli 128gb..check dlm cuma 114gb..mana pegi 14gb lagi daaaa...jujurlah jika berniaga klu nk masuk syurga.,3,1,1
Dh rosak baru je beli,1,1,0
Useless. Waste money.,,1,0
Feel disappointed because purchasing from official store and get a low quality SanDisk. Is this common to have 14GB of storage 'missing'? And store customer service not answering my queries too.,4,1,1
Minus 1  for slow response from sellerMinus 1  for seller reject & refuse to cancel order even though product still at their shopMinus 1  for product is a rip off. Found out other big brand 1TB flash drive even cheaper than this 32GB. Minus 1  pay for 32GB get only 28.6GB,4,1,1
Penghantaran barang keluar sangat2 lambat dr seller..,5,1,0
Very light thumbdrive... Doesn't work..  can't save files and songs... Is a fake drive... Been cheated... No more purchase pendrive online...,3,1,1
"When i just buy, i check disk size is usable. but today i would like use for do boot disk using iso it's fail to fomat... pendrive not able to readable and cannot be reformat.",2,1,1
product is good just delivery time took longer theni expected,3,1,0
Rosakkkk,,1,0
Telah terima dlm baik pada 4/6/2020..uji berfungsi baik..tks..,2,1,0
overall in Okay. Tapi Postage Jelaa lambatt  papepun thank you seller,1,2,0
Delivery time as expected. Wrapped nicelyExpected the 128GB to have 114GB (since  everyone usually talk about it in the net)Kinda sad that the 32GB is only 28.6GB since my previous cruzer of the same model is 29.2GB :(,2,2,1
Peram barang lama sangat sampai 4 hari baru buat penghantaran. Barang dan harga memang baik. So maaf tak dapat bagi FULL STARS. Make sure improve your service and anything problems please make sure ur customers get inform. Be nice.,0,2,0
Lebih seminggu br sampi tupun guna guarantee br proceed..,,2,0
Its functioning but both only have around 57GB storage when I bought 64GB. Its like almost 2x7GB less. Was expecting the free reusable mask as well but not received even i ordered my goods within the promotion period.,1,2,1
Delay ke?Order 7.6 seller ship out 9.6smpai 12.6Dekat seminggu gk,,2,0
Seller very late send out item. So far product is original.,,2,0
Servis yang teruk... Seller mengepos barang lambat... Dari tarikh bayaran makan masa 4  hari hendak  pos barang... Sangat3 mengecewa kan...,,2,0
The storage only contain 114GB while I ordered a 128GB one. Takkan dengan official store pon boleh macam ni jugak?,1,2,1
Bought 2. Not exact the same storage as mentioned. Feel like being cheated.,1,2,1
"barang lambat pos. seminggu tunggu baru pos.seller yg lmbt pos. sbb bila dh pos..sehari je brg dh smpai dah. lg 1, dlm iklan tulis 64GB sdcard , tp total storage just 59GB je pon.. sama mcm pendrive l...tulis 128GB, tapi total just 117GB. aku pon xphm",1,2,1
oder 64gb dpt tak smpai 64..dapat 57gb sja,1,2,1
"ordered usb 32gb but when i check, only 28gb and ordered micro sd card 16gb and inside only have 14.83gb.",1,2,1
Kata ada 32gb. Tapi cuma ada 28gb sahaja.. penghantaran laju.,1,2,1
Buy 32gb  but actual 28gb only,1,2,1
Beli 32GB bila dapat 28GB sahaja.,1,2,1
pos lambat,,2,0
beli 32gb dpt 28.6gb je...,1,2,1
Perkhidmatan pos semua mantap tapi pendrive hanya 114gb sahaja padahal beli 128gb. Tapi pendrive masih function,,2,1
mmmmmmmmmg lambaaat ... shopeee please kembalikan hak pengguna kami untuk memilih courier.... mcm apa lagi....,,3,0
"Barang ok jaa, nice tapi beli 36 GB yang dapat 28GB je.hmmm",,3,1
"Paid 06/06Parcel picked up 10/06Received 12/06Quite delay arrangement by seller. Need to use urgently but finally x sempat. Its ok la use for others.hwevr,packaging was good.seller i think u need speed up ur service for buyer's buying satisfaction. Pendrive yet to check n test. Will update later.",1,3,0
"DISAPPOINTED, I order 32GB and I received 28.6GB WHERE'S THE OTHER 3.4GB?? the only good thing here is the fast delivery other than that nothing. I'm not going to refund it, would've hv wasted my time. Thanks, at least you send me my flash drive.",3,3,1
Tak sampai 32gb punGood value for moneyFast delivery,,3,0
"Memang tulis kat card 64G, tp bila masuk dlm phone detect 59.4G je. Mana perginya 4.6G? Check guna pc pun sama.",1,3,1
Barang da sampai..tp gb x sepenuhnye smpai..contoh order 64gb..tp dlm cume 57gb...but overall is okey...,1,3,1
"18hb konon discounts, 19hb lagi murah, walaupun beza 0.90sen tetap tak puas hati hahahahahahaha",,3,1
Hadoii lambat nauu postage.. 3 star jaa ye.. hari ke lapan baru sampai..,,3,0
barang ok... courier service lambat 4 hari baru sampai,,3,0
"delivery guy wrongly sending to the wrong address, luckly the house owner called me...plss use jnt or dhl, shopee express really sucks",,3,0
delivery lambat. barang ok.,,3,0
Not bad laa..beli 64gb tpi smpai 57.2gb ja.. balance 6.8gb lgi goneebeli 6.6 smpai marin..11.6..btw tqq seller,,3,1
"Delivery okay, packaging okay, i bought 64gb, when open it and checked only have 57gb ",,3,1
"betul lah, 114gb korang bagi kalau purchase 128gb. mana 14gb lagi? korang buat pendrives size 14gb ke? ",,3,1
57 gb je saye order 64 gb hmmmm,,3,1
Bli 128gb dpt only 114gb. Why,,3,1
Product quanlity is ok..................................,,3,0
Late delivery...,,3,0
maaf gambar x da kna mngena. brg ok ja so klau bli pun x de la kecewa sgt. just lmt shipping je.overall nice,,4,0
Good Product Quality. gOod value for money. delivery slowww,,4,0
"Brg ampai dlm keadaan yg elok. Delivery pun cepat. Brg okay. Cuma storage tk sama dgn yg ditulis. Klu nk yg bajet, boleh beli yg ni. Klu nk yg betul sama storage, boleh beli yg original. Better dri takde lngsung. Thanks seller",1,4,1
"Overall ok sepanjang 15hari ni, tapi tulah apekan daya kat notis pembelian tulis kata drive nih 64gb tapi aq cek kat laptop ada dalam 57gb something and lps tu aku tanyelah kat admin shop nihhh, dia ckp hal tu terjadi sbb sistem tuk optimise drive ni ade amik bpe gb lps tu aq faham lah, btw thnk you",,4,1
Penghantaran agak delay...storage kurang 128 dpt 114 gb je tapi ok...file transfer laju,,4,1
Terbaik shoppe express... pendrive guna awal2 ok.lepas tu..crack...kenapa..rasa rugi je beli,,4,1
"act what do i say? hahahah everything was good and i think thats it,oh btw this get yours one keep the memories inside!",,4,1
Product received in good condition with well packaging. Good product quality,,4,0
"Item received in good condition, not the best packaging but non damages were found",,4,0
"Iman kita hanya bertumbuh sebatas perkataan saja, tetapi tidak pernah berbuah dalam tindakan kita. Kita mau berubah tetapi tidak pernah berubah, mau memberkati tetapi tidak pernah menjadi berkat. Mau setia melayani tetapi selalu mudah tersinggung dan tidak loyal,IMAN TANPA PERBUATAN ADALAH MATI",1,4,1
128GB,,4,0
fast delivery,,4,0
Barang dah smpai. Penghantaran pantas. Bungkusan pun elok. Dah try tadi dekat laptop ada 114gb daripada 128gb.,1,4,1
Fast delivery. Same as product shown. Buy 128GB but in pc only shown 114GB. Still useful. Thanks seller,,4,1
"The products are good, just one thing want to problem regarding the Poslaju sender who always leave the parcel at guard house. Can seller help to complain to Poslaju?",,4,0
Item received same with order.Good packaging with bubble wrap & fragile sign. Item functioning properly. Overall recommended & trusted seller.,,4,0
Packing mmg selamat.... Cantik... Puashati.... Hrga bg aku berbaloi la... 64gb opkos la x dapat 64 full... Stndard la tu...,,4,1
Product quality is not bad......Delivery time as expected.........Value for money.........,,4,0
Okay thanks,,4,0
Tq seller..brg dah smpai..cume penghantaran ambil masa seminggu jgk la dr tarikh order..anyway thanks..packaging kemas..cuma belum try lg,,4,0
"Parcel arrived today!!!!! already try on and it working properly, I use this  to store movie cause I downloaded a lot during this lockdown, transferring and playing it back also good thankfully. Was worried if it not working, packaging is ok and delivery is average not too slow or too fast.",1,5,1
Good good good good good good good Good good good good good good good Good good good good good good good Good good good good good good good Good good good good good good good Good good good good good good good Good good good good good good good Good good good good good good,,5,0
